indentation(m),F_avg(N),F_std(N)
5.730217324328336e-08,3.204641215033306e-11,2.6548506792764308e-11
5.7842759783314334e-08,3.2391341233291773e-11,2.668866683295675e-11
5.838334632334531e-08,3.273627031625048e-11,2.683137292165638e-11
5.8923932863376286e-08,3.308119939920918e-11,2.697658465311615e-11
5.946451940340726e-08,3.3426128482167924e-11,2.7124261784937206e-11
6.000510594343824e-08,3.3771057565126615e-11,2.727436427039473e-11
6.054569248346921e-08,3.411598664808535e-11,2.7426852288877062e-11
6.108627902350019e-08,3.4460915731044055e-11,2.7581686274462887e-11
6.162686556353117e-08,3.480584481400278e-11,2.7738826942666917e-11
6.216745210356214e-08,3.515077389696148e-11,2.789823531538995e-11
6.270803864359312e-08,3.549570297992022e-11,2.8059872744113334e-11
6.324862518362409e-08,3.5840632062878915e-11,2.8223700931382377e-11
6.378921172365507e-08,3.618556114583764e-11,2.8389681950626196e-11
6.432979826368603e-08,3.653049022879632e-11,2.8557778264364755e-11
6.487038480371701e-08,3.6875419311755065e-11,2.872795274085597e-11
6.541097134374798e-08,3.7220348394713776e-11,2.8900168669237924e-11
6.595155788377896e-08,3.756527747767247e-11,2.907438977322249e-11
6.649214442380993e-08,3.791020656063121e-11,2.925058022339804e-11
6.703273096384091e-08,3.825513564358991e-11,2.942870464819921e-11
6.757331750387189e-08,3.8600064726548617e-11,2.960872814360244e-11
6.811390404390286e-08,3.894499380950733e-11,2.979061628160596e-11
6.865449058393384e-08,3.9289922892466057e-11,2.997433511755237e-11
6.919507712396481e-08,3.96338030600536e-11,3.0157892723585915e-11
6.973566366399579e-08,3.997404986856557e-11,3.0334703077822245e-11
7.027625020402677e-08,4.031414139481293e-11,3.0511479132699326e-11
7.081683674405774e-08,4.0658806394835195e-11,3.0695070956424067e-11
7.135742328408872e-08,4.101758223368085e-11,3.089245117776401e-11
7.189800982411969e-08,4.138104801360909e-11,3.1093804932187965e-11
7.243859636415067e-08,4.176241650870349e-11,3.129968973421299e-11
7.297918290418164e-08,4.2172068213861556e-11,3.149189869560823e-11
7.351976944421262e-08,4.26132542446755e-11,3.165671187702722e-11
7.40603559842436e-08,4.308323057446648e-11,3.178746265940534e-11
7.460094252427456e-08,4.3569753288852825e-11,3.190516373480932e-11
7.514152906430553e-08,4.405911563571913e-11,3.2019629581572764e-11
7.568211560433651e-08,4.454962574541694e-11,3.213446537485712e-11
7.622270214436749e-08,4.504696167124481e-11,3.2228355219296504e-11
7.676328868439846e-08,4.554429759707272e-11,3.232593323738837e-11
7.730387522442944e-08,4.6041633522900624e-11,3.242716613441102e-11
7.784446176446041e-08,4.653896944872856e-11,3.2532019790707194e-11
7.838504830449139e-08,4.7036305374556454e-11,3.264045931249904e-11
7.892563484452237e-08,4.753364130038435e-11,3.2752449082664264e-11
7.946622138455334e-08,4.803097722621225e-11,3.286795281132966e-11
8.000680792458432e-08,4.8528313152040154e-11,3.298693358614499e-11
8.054739446461529e-08,4.902564907786807e-11,3.310935392210721e-11
8.108798100464627e-08,4.952298500369598e-11,3.323517581081288e-11
8.162856754467724e-08,5.0020320929523885e-11,3.3364360769024114e-11
8.216915408470822e-08,5.051765685535178e-11,3.3496869886441896e-11
8.27097406247392e-08,5.1014992781179715e-11,3.3632663872588353e-11
8.325032716477017e-08,5.151232870700762e-11,3.377170310270819e-11
8.379091370480115e-08,5.20096646328355e-11,3.391394766260776e-11
8.433150024483211e-08,5.250700055866339e-11,3.405935739235836e-11
8.487208678486309e-08,5.30043364844913e-11,3.420789192879858e-11
8.541267332489406e-08,5.350167241031921e-11,3.4359510746778676e-11
8.595325986492504e-08,5.3999008336147134e-11,3.451417319909755e-11
8.649384640495601e-08,5.4496344261975036e-11,3.467183855509073e-11
8.703443294498699e-08,5.499368018780294e-11,3.4832466037834866e-11
8.757501948501797e-08,5.5491016113630847e-11,3.4996014859941277e-11
8.811560602504894e-08,5.598835203945876e-11,3.516244425791828e-11
8.865619256507992e-08,5.6485687965286663e-11,3.533171352508762e-11
8.919677910511089e-08,5.6983023891114566e-11,3.5503782043046866e-11
8.973736564514187e-08,5.748035981694244e-11,3.567860931167531e-11
9.027795218517284e-08,5.797769574277036e-11,3.585615497768576e-11
9.081853872520382e-08,5.847503166859827e-11,3.603637886173003e-11
9.13591252652348e-08,5.897236759442617e-11,3.6219240984070014e-11
9.189971180526577e-08,5.946970352025409e-11,3.6404701588830494e-11
9.244029834529675e-08,5.996673585356587e-11,3.6591898298885904e-11
9.298088488532772e-08,6.0466271939351e-11,3.6783578119825324e-11
9.35214714253587e-08,6.096684808029111e-11,3.6977849438136765e-11
9.406205796538966e-08,6.146216180378533e-11,3.7163144904424576e-11
9.460264450542064e-08,6.197510891258963e-11,3.737196550412767e-11
9.514323104545161e-08,6.25117389888047e-11,3.7598718248688776e-11
9.568381758548259e-08,6.307478878130279e-11,3.783294848246722e-11
9.622440412551357e-08,6.368611249758882e-11,3.8061264061456445e-11
9.676499066554454e-08,6.43116126491121e-11,3.8285987728625785e-11
9.730557720557552e-08,6.495103153802076e-11,3.850555971347962e-11
9.784616374560649e-08,6.560855209489509e-11,3.8709781360111985e-11
9.838675028563747e-08,6.62684238203434e-11,3.8914418204810083e-11
9.892733682566844e-08,6.693101899100022e-11,3.9118936867444413e-11
9.946792336569942e-08,6.760165252261261e-11,3.9306876681274745e-11
1.000085099057304e-07,6.827480578170773e-11,3.9491579837602524e-11
1.0054909644576137e-07,6.894804580919669e-11,3.96800748904595e-11
1.0108968298579235e-07,6.962128583668565e-11,3.987256466692277e-11
1.0163026952582332e-07,7.029452586417463e-11,4.006899159557333e-11
1.021708560658543e-07,7.096776589166355e-11,4.026929806213464e-11
1.0271144260588528e-07,7.164100591915257e-11,4.047342646614788e-11
1.0325202914591625e-07,7.231424594664153e-11,4.0681319275154336e-11
1.0379261568594723e-07,7.298748597413045e-11,4.0892919076364945e-11
1.0433320222597819e-07,7.366072600161941e-11,4.110816862580897e-11
1.0487378876600917e-07,7.433396602910839e-11,4.132701089496412e-11
1.0541437530604014e-07,7.500720605659739e-11,4.1549389114880457e-11
1.0595496184607112e-07,7.568044608408634e-11,4.177524681781946e-11
1.0649554838610209e-07,7.63536861115753e-11,4.200452787643789e-11
1.0703613492613307e-07,7.702692613906424e-11,4.2237176540553534e-11
1.0757672146616404e-07,7.770016616655324e-11,4.247313747153662e-11
1.0811730800619502e-07,7.837340619404222e-11,4.2712355774376765e-11
1.08657894546226e-07,7.904664622153119e-11,4.295477702748029e-11
1.0919848108625697e-07,7.971988624902016e-11,4.320034731025766e-11
1.0973906762628795e-07,8.039312627650914e-11,4.3449013228564215e-11
1.1027965416631892e-07,8.10663663039981e-11,4.3700721938061115e-11
1.108202407063499e-07,8.173960633148706e-11,4.395542116556555e-11
1.1136082724638088e-07,8.241284635897601e-11,4.421305922846197e-11
1.1190141378641185e-07,8.308608638646505e-11,4.4473585052247e-11
1.1244200032644283e-07,8.375932641395396e-11,4.473694818628259e-11
1.129825868664738e-07,8.443256644144296e-11,4.500309881783192e-11
1.1352317340650478e-07,8.510580646893191e-11,4.5271987784453224e-11
1.1406375994653574e-07,8.577904649642091e-11,4.55435665848267e-11
1.1460434648656672e-07,8.645228652390984e-11,4.581778738808902e-11
1.1514493302659769e-07,8.712552655139883e-11,4.609460304174926e-11
1.1568551956662867e-07,8.780392402508704e-11,4.638480004494137e-11
1.1622610610665964e-07,8.848790184533262e-11,4.6685738248860206e-11
1.1676669264669062e-07,8.91801172510172e-11,4.700115033266946e-11
1.173072791867216e-07,8.988911515787251e-11,4.733711104051655e-11
1.1784786572675257e-07,9.060161104854317e-11,4.76763263296134e-11
1.1838845226678355e-07,9.132502360385128e-11,4.8024203632859546e-11
1.1892903880681452e-07,9.208049939821969e-11,4.838398691758259e-11
1.194696253468455e-07,9.288046395435323e-11,4.8744799430766417e-11
1.2001021188687648e-07,9.371306754640705e-11,4.909920680021381e-11
1.2055079842690745e-07,9.457096191708514e-11,4.9439455625313796e-11
1.2109138496693843e-07,9.54528835860491e-11,4.9762586383603547e-11
1.216319715069694e-07,9.636151852131574e-11,5.005675002654861e-11
1.2217255804700038e-07,9.726917802001849e-11,5.035491381804275e-11
1.2271314458703135e-07,9.817557535833882e-11,5.066024766280206e-11
