indentation(m),F_avg(N),F_std(N)
2.1839696217251394e-07,4.4390567559652025e-10,3.4256004744171076e-10
2.1893754871254492e-07,4.476667758775142e-10,3.4680747060293765e-10
2.194781352525759e-07,4.514272937958523e-10,3.510609480439597e-10
2.2001872179260687e-07,4.5519305865345893e-10,3.553225203212355e-10
2.2055930833263785e-07,4.589892641938722e-10,3.596112616149119e-10
2.2109989487266882e-07,4.627927932232861e-10,3.6390955116662643e-10
2.216404814126998e-07,4.665963222527e-10,3.6821270293589426e-10
2.2218106795273078e-07,4.703998512821135e-10,3.725205484257929e-10
2.2272165449276175e-07,4.742575893878863e-10,3.7701042126618313e-10
2.2326224103279273e-07,4.781454414873031e-10,3.8153756245299443e-10
2.238028275728237e-07,4.820621628651151e-10,3.8609494061228166e-10
2.2434341411285468e-07,4.860309822488181e-10,3.907178300981973e-10
2.2488400065288565e-07,4.900193016446155e-10,3.953629254897795e-10
2.2542458719291663e-07,4.940227628429417e-10,4.0001709386592257e-10
2.259651737329476e-07,4.980452214665938e-10,4.046788617161519e-10
2.2650576027297858e-07,5.020891029199242e-10,4.0934693774951324e-10
2.2704634681300956e-07,5.061559731731382e-10,4.1402099967930677e-10
2.275869333530405e-07,5.103423405407676e-10,4.190095288084418e-10
2.2812751989307148e-07,5.145929530770797e-10,4.241139729185224e-10
2.2866810643310246e-07,5.188568186719692e-10,4.292247461140887e-10
2.2920869297313343e-07,5.231497844323915e-10,4.343847466600313e-10
2.297492795131644e-07,5.274697582460922e-10,4.395437801065709e-10
2.3028986605319539e-07,5.318207582440965e-10,4.4470575805935006e-10
2.3083045259322636e-07,5.361967114918473e-10,4.4988016927781594e-10
2.3137103913325734e-07,5.406473320316473e-10,4.551390601052226e-10
2.3191162567328831e-07,5.451278067213856e-10,4.60432156449798e-10
2.324522122133193e-07,5.496263539169714e-10,4.657216809447614e-10
2.3299279875335027e-07,5.541351412881279e-10,4.710102357167808e-10
2.3353338529338124e-07,5.586547099409403e-10,4.762974894887983e-10
2.3407397183341222e-07,5.632016593445511e-10,4.81627890842392e-10
2.346145583734432e-07,5.677624871020108e-10,4.869654380186668e-10
2.3515514491347417e-07,5.724067330958822e-10,4.923909310672402e-10
2.3569573145350514e-07,5.771214659475039e-10,4.978996591199181e-10
2.3623631799353612e-07,5.818317066490773e-10,5.033801036777894e-10
2.367769045335671e-07,5.865568688064302e-10,5.088775147923286e-10
2.3731749107359807e-07,5.913077161421205e-10,5.143859344817097e-10
2.3785807761362905e-07,5.960742936980142e-10,5.198970050033448e-10
2.3839866415366002e-07,6.008466735610929e-10,5.254103605507488e-10
2.38939250693691e-07,6.056257160292075e-10,5.309258450065035e-10
2.39479837233722e-07,6.104026470982394e-10,5.364464461658476e-10
2.4002042377375295e-07,6.152889675192133e-10,5.422894020476613e-10
2.4056101031378393e-07,6.202037237770527e-10,5.482351842397436e-10
2.411015968538149e-07,6.251522613578653e-10,5.541868279190035e-10
2.416421833938459e-07,6.301173549703994e-10,5.601416601732914e-10
2.4218276993387685e-07,6.350885728647496e-10,5.661007230858496e-10
2.4272335647390783e-07,6.401078336221742e-10,5.721698380380311e-10
2.432639430139388e-07,6.451732317175855e-10,5.783752796074738e-10
2.438045295539698e-07,6.502590304996467e-10,5.845844619609536e-10
2.4434511609400076e-07,6.553707748905929e-10,5.908010236002497e-10
2.4488570263403173e-07,6.605613429213659e-10,5.970748385665396e-10
2.454262891740627e-07,6.657937583453417e-10,6.034202769318696e-10
2.459668757140937e-07,6.710885816589623e-10,6.099496177188018e-10
2.4650746225412466e-07,6.764327799406919e-10,6.164866256922767e-10
2.4704804879415564e-07,6.817950733475346e-10,6.230291765445645e-10
2.475886353341866e-07,6.871626945890156e-10,6.295743606103175e-10
2.481292218742176e-07,6.925418380789394e-10,6.36122257108399e-10
2.4866980841424856e-07,6.979656429911559e-10,6.426867261045338e-10
2.4921039495427954e-07,7.034118053877881e-10,6.492500129549095e-10
2.497509814943105e-07,7.088937268229033e-10,6.558224057878194e-10
2.502915680343415e-07,7.144029471648171e-10,6.623463242510101e-10
2.5083215457437247e-07,7.199268419184325e-10,6.688194394152859e-10
2.5137274111440344e-07,7.254625718128294e-10,6.752958179135549e-10
2.519133276544344e-07,7.310317321530596e-10,6.818058952975204e-10
2.524539141944654e-07,7.366231360057838e-10,6.883139988263576e-10
2.5299450073449637e-07,7.422266277945579e-10,6.948198492995587e-10
2.5353508727452735e-07,7.478338525945205e-10,7.013261794797139e-10
2.540756738145583e-07,7.534845068879277e-10,7.078713219980327e-10
2.546162603545893e-07,7.59223590950628e-10,7.145966377308475e-10
2.551568468946203e-07,7.650157114028819e-10,7.214203802160989e-10
2.5569743343465125e-07,7.708110157484765e-10,7.282621666044686e-10
2.562380199746822e-07,7.76636805906219e-10,7.35189868135649e-10
2.567786065147132e-07,7.82459891930244e-10,7.420810990188246e-10
2.573191930547441e-07,7.883039207852354e-10,7.48935980731354e-10
2.578597795947751e-07,7.941942481168926e-10,7.558117316645931e-10
2.584003661348061e-07,8.001202279389462e-10,7.626963773875528e-10
2.5894095267483705e-07,8.061365422260691e-10,7.698585532754279e-10
2.5948153921486803e-07,8.121912268789068e-10,7.77117531621455e-10
2.60022125754899e-07,8.182843121983631e-10,7.843790634221797e-10
2.6056271229493e-07,8.244530554678411e-10,7.916871035463034e-10
2.6110329883496096e-07,8.30622872113914e-10,7.990046560648583e-10
2.6164388537499193e-07,8.367854772015965e-10,8.063075523139151e-10
2.621844719150229e-07,8.429496594410974e-10,8.135792845697909e-10
2.627250584550539e-07,8.492180704842281e-10,8.210724186434432e-10
2.6326564499508486e-07,8.55577900751763e-10,8.286726841232021e-10
2.6380623153511583e-07,8.620125208923693e-10,8.364357560661084e-10
2.643468180751468e-07,8.684595526033532e-10,8.442022756511563e-10
2.648874046151778e-07,8.749202411753683e-10,8.51974671855794e-10
2.6542799115520876e-07,8.813484899729465e-10,8.595626454343219e-10
2.6596857769523974e-07,8.877814365374332e-10,8.671257790081959e-10
2.665091642352707e-07,8.942433340036013e-10,8.747121534552937e-10
2.670497507753017e-07,9.007233958115539e-10,8.823284345690883e-10
2.6759033731533267e-07,9.072332759175946e-10,8.899476507059639e-10
2.6813092385536364e-07,9.138169846224443e-10,8.976184966519829e-10
2.686715103953946e-07,9.204094791129759e-10,9.052924005944945e-10
2.692120969354256e-07,9.27031187331957e-10,9.129628110898075e-10
2.6975268347545657e-07,9.33696020272255e-10,9.206202258232648e-10
